x;y;zero_tick
21.4;2767208.6540932;
21.5;2965820.80075786;
21.6;3178688.02889042;
21.7;3406833.47504655;
21.8;3651353.70983519;
21.9;3913424.0085348;
22;4194304;
22.1;4495343.72100983;
22.2;4817990.10515749;
22.3;5163793.93747024;
22.4;5534417.3081864;
22.5;5931641.60151572;
22.6;6357376.05778083;
22.7;6813666.9500931;
22.8;7302707.41967038;
22.9;7826848.01706961;
23;8388608;
23.1;8990687.44201966;
23.2;9635980.21031499;
23.3;10327587.8749405;
23.4;11068834.6163728;
23.5;11863283.2030314;
23.6;12714752.1155617;
23.7;13627333.9001862;
23.8;14605414.8393408;
23.9;15653696.0341392;
24;16777216;
24.1;17981374.8840393;
24.2;19271960.42063;
24.3;20655175.749881;
24.4;22137669.2327456;
24.5;23726566.4060629;
24.6;25429504.2311233;
24.7;27254667.8003724;
24.8;29210829.6786815;
24.9;31307392.0682784;
25;33554432;
25.1;35962749.7680786;
25.2;38543920.84126;
25.3;41310351.4997619;
25.4;44275338.4654912;
25.5;47453132.8121258;
25.6;50859008.4622467;
25.7;54509335.6007448;
25.8;58421659.357363;
25.9;62614784.1365568;
26;67108864;
26.1;71925499.5361573;
26.2;77087841.6825199;
26.3;82620702.9995238;
26.4;88550676.9309824;
26.5;94906265.6242516;
26.6;101718016.924493;
26.7;109018671.20149;
26.8;116843318.714726;
26.9;125229568.273114;
27;134217728;
27.1;143850999.072315;
27.2;154175683.36504;
27.3;165241405.999048;
27.4;177101353.861965;
27.5;189812531.248503;
27.6;203436033.848987;
27.7;218037342.402979;
27.8;233686637.429452;
27.9;250459136.546227;
28;268435456;
28.1;287701998.144629;
28.2;308351366.73008;
28.3;330482811.998096;
28.4;354202707.723929;
28.5;379625062.497006;
28.6;406872067.697973;
28.7;436074684.805959;
28.8;467373274.858905;
28.9;500918273.092454;
29;536870912;
29.1;575403996.289258;
29.2;616702733.460159;
29.3;660965623.996192;
29.4;708405415.447858;
29.5;759250124.994012;
29.6;813744135.395947;
29.7;872149369.611917;
29.8;934746549.71781;
29.9;1001836546.18491;
30;1073741824;
